Starting pre-training...
Pre-training Epoch 0:   0%|          | 0/367 [00:00<?, ?it/s]Pre-training Epoch 0:   0%|          | 1/367 [00:00<02:29,  2.44it/s]Pre-training Epoch 0:   5%|▍         | 18/367 [00:00<00:07, 45.64it/s]Pre-training Epoch 0:  10%|▉         | 36/367 [00:00<00:04, 81.38it/s]Pre-training Epoch 0:  15%|█▍        | 54/367 [00:00<00:02, 107.57it/s]Pre-training Epoch 0:  20%|█▉        | 72/367 [00:00<00:02, 127.71it/s]Pre-training Epoch 0:  25%|██▍       | 91/367 [00:00<00:01, 143.40it/s]Pre-training Epoch 0:  30%|██▉       | 109/367 [00:01<00:01, 152.88it/s]Pre-training Epoch 0:  35%|███▍      | 127/367 [00:01<00:01, 159.90it/s]recon_loss: 0.6796653270721436, dist_loss: 1.7857962846755981
recon_loss: 0.6765533089637756, dist_loss: 1.303330659866333
recon_loss: 0.6734405755996704, dist_loss: 1.1940783262252808
recon_loss: 0.6703270673751831, dist_loss: 2.3435206413269043
recon_loss: 0.667212188243866, dist_loss: 1.1110302209854126
recon_loss: 0.6640949845314026, dist_loss: 1.997076153755188
recon_loss: 0.6609748601913452, dist_loss: 1.3696959018707275
recon_loss: 0.6578503847122192, dist_loss: 1.5234854221343994
recon_loss: 0.654720664024353, dist_loss: 1.9228016138076782
recon_loss: 0.6515845060348511, dist_loss: 1.1969810724258423
recon_loss: 0.6484407186508179, dist_loss: 1.3749210834503174
recon_loss: 0.6452882885932922, dist_loss: 1.8946502208709717
recon_loss: 0.6421264410018921, dist_loss: 1.256575345993042
recon_loss: 0.6389535069465637, dist_loss: 1.6904959678649902
recon_loss: 0.6357679963111877, dist_loss: 1.5298616886138916
recon_loss: 0.6325685977935791, dist_loss: 1.9889568090438843
recon_loss: 0.6293538212776184, dist_loss: 1.6021640300750732
recon_loss: 0.626121997833252, dist_loss: 1.2414278984069824
recon_loss: 0.6228718161582947, dist_loss: 1.5876612663269043
recon_loss: 0.6196016669273376, dist_loss: 1.6355925798416138
recon_loss: 0.6163099408149719, dist_loss: 1.2538518905639648
recon_loss: 0.6129953861236572, dist_loss: 1.3344018459320068
recon_loss: 0.6096566915512085, dist_loss: 1.3722712993621826
recon_loss: 0.6062926054000854, dist_loss: 1.5901288986206055
recon_loss: 0.6029015779495239, dist_loss: 0.9971988797187805
recon_loss: 0.5994821786880493, dist_loss: 1.2138586044311523
recon_loss: 0.5960338115692139, dist_loss: 1.1786282062530518
recon_loss: 0.5925557613372803, dist_loss: 1.4817252159118652
recon_loss: 0.5890468955039978, dist_loss: 1.6368998289108276
recon_loss: 0.5855063796043396, dist_loss: 1.5237095355987549
recon_loss: 0.5819334387779236, dist_loss: 1.8350106477737427
recon_loss: 0.5783275961875916, dist_loss: 1.6196531057357788
recon_loss: 0.5746877789497375, dist_loss: 1.658726453781128
recon_loss: 0.5710139274597168, dist_loss: 1.025650143623352
recon_loss: 0.5673055648803711, dist_loss: 1.6301226615905762
recon_loss: 0.5635619163513184, dist_loss: 1.007715106010437
recon_loss: 0.5597824454307556, dist_loss: 1.5072011947631836
recon_loss: 0.5559670925140381, dist_loss: 1.2401323318481445
recon_loss: 0.5521153211593628, dist_loss: 1.2418806552886963
recon_loss: 0.5482273101806641, dist_loss: 1.5492223501205444
recon_loss: 0.5443026423454285, dist_loss: 1.5015842914581299
recon_loss: 0.5403414368629456, dist_loss: 1.2305796146392822
recon_loss: 0.5363433957099915, dist_loss: 1.7385698556900024
recon_loss: 0.5323088765144348, dist_loss: 0.938044548034668
recon_loss: 0.52823805809021, dist_loss: 1.2133605480194092
recon_loss: 0.5241310000419617, dist_loss: 0.8488777875900269
recon_loss: 0.5199878811836243, dist_loss: 1.6252115964889526
recon_loss: 0.5158094763755798, dist_loss: 1.269899845123291
recon_loss: 0.5115959048271179, dist_loss: 1.3582899570465088
recon_loss: 0.5073475241661072, dist_loss: 1.1601881980895996
recon_loss: 0.5030651092529297, dist_loss: 1.2629389762878418
recon_loss: 0.49874916672706604, dist_loss: 1.4908983707427979
recon_loss: 0.4944005310535431, dist_loss: 1.4694366455078125
recon_loss: 0.4900203347206116, dist_loss: 1.448882818222046
recon_loss: 0.4856092035770416, dist_loss: 1.2966423034667969
